"Name of Programme : 2"
"Subject : Information System Security"

"Index No","Registration No","Examiner 01 Mark","Examiner 02 Marks","Assignment Marks"
DILIM/003,DILIM/2022/003,34,,,,
DILIM/005,DILIM/2022/005,44,,,,
DILIM/007,DILIM/2022/007,45,,,,
DILIM/009,DILIM/2022/009,43,,,,
DILIM/011,DILIM/2022/011,43,,,,
DILIM/012,DILIM/2022/012,87,,,,
DILIM/013,DILIM/2022/013,12,,,,
DILIM/014,DILIM/2022/014,76,,,,
DILIM/015,DILIM/2022/015,54,,,,
DILIM/016,DILIM/2022/016,32,,,,
DILIM/017,DILIM/2022/017,69,,,,
DILIM/018,DILIM/2022/018,91,,,,
DILIM/019,DILIM/2022/019,23,,,,
DILIM/020,DILIM/2022/020,78,,,,
DILIM/021,DILIM/2022/021,59,,,,
DILIM/022,DILIM/2022/022,88,,,,
DILIM/023,DILIM/2022/023,19,,,,
DILIM/024,DILIM/2022/024,67,,,,
DILIM/025,DILIM/2022/025,37,,,,
DILIM/026,DILIM/2022/026,82,,,,
DILIM/027,DILIM/2022/027,42,,,,
DILIM/028,DILIM/2022/028,75,,,,
DILIM/029,DILIM/2022/029,56,,,,
DILIM/030,DILIM/2022/030,95,,,,
DILIM/031,DILIM/2022/031,28,,,,
DILIM/032,DILIM/2022/032,63,,,,
DILIM/033,DILIM/2022/033,14,,,,
DILIM/034,DILIM/2022/034,72,,,,
DILIM/035,DILIM/2022/035,51,,,,
DILIM/036,DILIM/2022/036,23,,,,
DILIM/037,DILIM/2022/037,68,,,,
DILIM/038,DILIM/2022/038,89,,,,
DILIM/039,DILIM/2022/039,31,,,,
DILIM/040,DILIM/2022/040,77,,,,
DILIM/041,DILIM/2022/041,58,,,,
DILIM/042,DILIM/2022/042,87,,,,
DILIM/043,DILIM/2022/043,17,,,,
DILIM/044,DILIM/2022/044,66,,,,
DILIM/045,DILIM/2022/045,37,,,,
DILIM/046,DILIM/2022/046,81,,,,
DILIM/047,DILIM/2022/047,42,,,,
DILIM/048,DILIM/2022/048,74,,,,
DILIM/049,DILIM/2022/049,53,,,,
DILIM/050,DILIM/2022/050,93,,,,
DILIM/051,DILIM/2022/051,26,,,,
DILIM/052,DILIM/2022/052,61,,,,
DILIM/053,DILIM/2022/053,13,,,,
DILIM/054,DILIM/2022/054,71,,,,
DILIM/055,DILIM/2022/055,50,,,,
DILIM/056,DILIM/2022/056,22,,,,
DILIM/057,DILIM/2022/057,67,,,,
DILIM/058,DILIM/2022/058,88,,,,
DILIM/059,DILIM/2022/059,29,,,,
DILIM/060,DILIM/2022/060,76,,,,
DILIM/061,DILIM/2022/061,57,,,,
DILIM/062,DILIM/2022/062,86,,,,
DILIM/063,DILIM/2022/063,18,,,,
DILIM/064,DILIM/2022/064,65,,,,
DILIM/065,DILIM/2022/065,36,,,,
DILIM/066,DILIM/2022/066,82,,,,
DILIM/067,DILIM/2022/067,43,,,,
DILIM/068,DILIM/2022/068,75,,,,
DILIM/069,DILIM/2022/069,54,,,,
DILIM/070,DILIM/2022/070,95,,,,
DILIM/071,DILIM/2022/071,27,,,,
DILIM/072,DILIM/2022/072,62,,,,
DILIM/073,DILIM/2022/073,14,,,,
DILIM/074,DILIM/2022/074,72,,,,
DILIM/075,DILIM/2022/075,51,,,,
DILIM/076,DILIM/2022/076,24,,,,
DILIM/077,DILIM/2022/077,69,,,,
DILIM/078,DILIM/2022/078,90,,,,
DILIM/079,DILIM/2022/079,31,,,,
DILIM/080,DILIM/2022/080,78,,,,
DILIM/081,DILIM/2022/081,59,,,,
DILIM/082,DILIM/2022/082,88,,,,
DILIM/083,DILIM/2022/083,19,,,,
DILIM/084,DILIM/2022/084,67,,,,
DILIM/085,DILIM/2022/085,38,,,,
DILIM/086,DILIM/2022/086,83,,,,
DILIM/087,DILIM/2022/087,42,,,,
DILIM/088,DILIM/2022/088,75,,,,
DILIM/089,DILIM/2022/089,56,,,,
DILIM/090,DILIM/2022/090,95,,,,
DILIM/091,DILIM/2022/091,28,,,,
DILIM/092,DILIM/2022/092,63,,,,
DILIM/093,DILIM/2022/093,15,,,,
DILIM/094,DILIM/2022/094,72,,,,
DILIM/095,DILIM/2022/095,53,,,,
DILIM/096,DILIM/2022/096,23,,,,
DILIM/097,DILIM/2022/097,68,,,,
DILIM/098,DILIM/2022/098,89,,,,
DILIM/099,DILIM/2022/099,32,,,,
DILIM/100,DILIM/2022/100,77,,,,
DILIM/101,DILIM/2022/101,58,,,,
DILIM/102,DILIM/2022/102,87,,,,
DILIM/103,DILIM/2022/103,17,,,,
DILIM/104,DILIM/2022/104,66,,,,
DILIM/105,DILIM/2022/105,38,,,,
DILIM/106,DILIM/2022/106,82,,,,
DILIM/107,DILIM/2022/107,43,,,,
DILIM/108,DILIM/2022/108,74,,,,
DILIM/109,DILIM/2022/109,54,,,,
DILIM/110,DILIM/2022/110,95,,,,
DILIM/111,DILIM/2022/111,26,,,,
DILIM/112,DILIM/2022/112,61,,,,
DILIM/113,DILIM/2022/113,14,,,,
DILIM/114,DILIM/2022/114,71,,,,
DILIM/115,DILIM/2022/115,50,,,,
DILIM/116,DILIM/2022/116,22,,,,
DILIM/117,DILIM/2022/117,67,,,,
DILIM/118,DILIM/2022/118,88,,,,
DILIM/119,DILIM/2022/119,29,,,,
DILIM/120,DILIM/2022/120,76,,,,
DILIM/121,DILIM/2022/121,57,,,,
DILIM/122,DILIM/2022/122,86,,,,
DILIM/123,DILIM/2022/123,18,,,,
DILIM/124,DILIM/2022/124,65,,,,
DILIM/125,DILIM/2022/125,36,,,,
DILIM/126,DILIM/2022/126,82,,,,
DILIM/127,DILIM/2022/127,43,,,,
DILIM/128,DILIM/2022/128,75,,,,
DILIM/129,DILIM/2022/129,56,,,,
DILIM/130,DILIM/2022/130,95,,,,
DILIM/131,DILIM/2022/131,27,,,,
DILIM/132,DILIM/2022/132,62,,,,
DILIM/133,DILIM/2022/133,15,,,,
DILIM/134,DILIM/2022/134,72,,,,
DILIM/135,DILIM/2022/135,51,,,,
DILIM/136,DILIM/2022/136,23,,,,
DILIM/137,DILIM/2022/137,68,,,,
DILIM/138,DILIM/2022/138,89,,,,
DILIM/139,DILIM/2022/139,31,,,,
DILIM/140,DILIM/2022/140,77,,,,
DILIM/141,DILIM/2022/141,58,,,,
DILIM/142,DILIM/2022/142,87,,,,
DILIM/143,DILIM/2022/143,17,,,,
DILIM/144,DILIM/2022/144,66,,,,
DILIM/145,DILIM/2022/145,37,,,,
DILIM/146,DILIM/2022/146,81,,,,
DILIM/147,DILIM/2022/147,42,,,,
DILIM/148,DILIM/2022/148,74,,,,
DILIM/149,DILIM/2022/149,53,,,,
DILIM/150,DILIM/2022/150,93,,,,
DILIM/151,DILIM/2022/151,26,,,,
DILIM/152,DILIM/2022/152,61,,,,
DILIM/153,DILIM/2022/153,13,,,,
DILIM/154,DILIM/2022/154,71,,,,
DILIM/155,DILIM/2022/155,50,,,,
DILIM/156,DILIM/2022/156,22,,,,
DILIM/157,DILIM/2022/157,67,,,,
DILIM/158,DILIM/2022/158,88,,,,
DILIM/159,DILIM/2022/159,29,,,,
DILIM/160,DILIM/2022/160,76,,,,
DILIM/161,DILIM/2022/161,57,,,,
DILIM/162,DILIM/2022/162,86,,,,
DILIM/163,DILIM/2022/163,18,,,,
DILIM/164,DILIM/2022/164,65,,,,
DILIM/165,DILIM/2022/165,36,,,,

